,단축코드,한글 종목약명,시장구분,Degree,community_code,community_label,KOSPI_sector,market_cap,market_cap_row
989,039830,오로라,KOSDAQ,51,0,"건설, 장비, 기기",전문기술,"1,027억원",1027
990,046120,오르비텍,KOSDAQ,51,13,기계장비,전문기술,"1,526억원",1526
991,014940,오리엔탈정공,KOSDAQ,54,13,기계장비,"기계,장비","1,666억원",1666
992,002630,오리엔트바이오,KOSPI,57,11,"의료, 제약 및 생물공학",의약품,"1,470억원",1470
993,065500,오리엔트정공,KOSDAQ,51,0,"건설, 장비, 기기","운송장비,부품",669억원,669
994,271560,오리온,KOSPI,67,2,"음식료품, 담배 및 기타화학",음식료품,"42,501억원",42501
995,001800,오리온홀딩스,KOSPI,53,8,"광고, 디지털컨텐츠, 엔터테인먼트",기타금융업,"10,023억원",10023
996,010470,오리콤,KOSDAQ,59,8,"광고, 디지털컨텐츠, 엔터테인먼트",전문기술,760억원,760
997,053980,오상자이엘,KOSDAQ,73,2,"음식료품, 담배 및 기타화학",컴퓨터서비스,"1,384억원",1384
998,052420,오성첨단소재,KOSDAQ,58,1,전기전자,IT부품,"1,772억원",1772
999,241790,오션브릿지,KOSDAQ,51,12,반도체,반도체,"1,505억원",1505
1000,039200,오스코텍,KOSDAQ,63,11,"의료, 제약 및 생물공학",제약,"11,509억원",11509
1001,031510,오스템,KOSDAQ,150,7,운수장비,"운송장비,부품",643억원,643
1002,048260,오스템임플란트,KOSDAQ,50,11,"의료, 제약 및 생물공학","의료,정밀기기","18,529억원",18529
1003,138080,오이솔루션,KOSDAQ,80,5,"항공,운수 및 통신장비",통신장비,"3,633억원",3633
1004,080580,오킨스전자,KOSDAQ,87,12,반도체,반도체,"4,013억원",4013
1005,067170,오텍,KOSDAQ,50,7,운수장비,"운송장비,부품","1,747억원",1747
1006,173130,오파스넷,KOSDAQ,62,16,IT서비스,소프트웨어,461억원,461
1007,049480,오픈베이스,KOSDAQ,85,16,IT서비스,컴퓨터서비스,"1,200억원",1200
1008,226950,올릭스,KOSDAQ,70,11,"의료, 제약 및 생물공학","연구,개발","5,865억원",5865
1009,057540,옴니시스템,KOSDAQ,51,16,IT서비스,"의료,정밀기기","1,247억원",1247
1010,082210,옵트론텍,KOSDAQ,78,14,전자부품,IT부품,"1,941억원",1941
1011,109080,옵티시스,KOSDAQ,52,5,"항공,운수 및 통신장비",통신장비,"1,105억원",1105
1012,051390,YW,KOSDAQ,54,4,"은행, 증권 및 기타금융",도매,485억원,485
1013,122990,와이솔,KOSDAQ,84,14,전자부품,반도체,"3,016억원",3016
1014,232140,와이아이케이,KOSDAQ,91,12,반도체,반도체,"4,685억원",4685
1015,067900,와이엔텍,KOSDAQ,51,15,건설,환경,"1,993억원",1993
1016,155650,와이엠씨,KOSDAQ,76,12,반도체,IT부품,"1,486억원",1486
1017,251370,와이엠티,KOSDAQ,51,12,반도체,화학,"3,051억원",3051
1018,066430,와이오엠,KOSDAQ,80,6,"화학, 섬유",도매,343억원,343
1019,193250,와이제이엠게임즈,KOSDAQ,50,8,"광고, 디지털컨텐츠, 엔터테인먼트",IT부품,"1,807억원",1807
1020,019210,와이지-원,KOSDAQ,54,10,철강금속,금속,"2,293억원",2293
1021,122870,와이지엔터테인먼트,KOSDAQ,106,8,"광고, 디지털컨텐츠, 엔터테인먼트","오락,문화","9,903억원",9903
1022,037270,YG PLUS,KOSPI,75,8,"광고, 디지털컨텐츠, 엔터테인먼트",서비스업,"5,138억원",5138
1023,040300,YTN,KOSDAQ,54,8,"광고, 디지털컨텐츠, 엔터테인먼트",방송서비스,"1,289억원",1289
1024,079000,와토스코리아,KOSDAQ,50,15,건설,화학,438억원,438
1025,032820,우리기술,KOSDAQ,51,1,전기전자,일반전기전자,"2,403억원",2403
1026,041190,우리기술투자,KOSDAQ,69,4,"은행, 증권 및 기타금융",금융,"7,862억원",7862
1027,115440,우리넷,KOSDAQ,59,16,IT서비스,통신장비,744억원,744
1028,118000,우리들휴브레인,KOSPI,60,3,교육서비스 및 문구류,유통업,"1,256억원",1256
1029,046970,우리로,KOSDAQ,75,5,"항공,운수 및 통신장비",도매,612억원,612
1030,215360,우리산업,KOSDAQ,50,7,운수장비,"운송장비,부품","1,890억원",1890
1031,072470,우리산업홀딩스,KOSDAQ,62,7,운수장비,"운송장비,부품","1,158억원",1158
1032,073560,우리손에프앤지,KOSDAQ,54,2,"음식료품, 담배 및 기타화학","음식료,담배","1,489억원",1489
1033,153490,우리이앤엘,KOSDAQ,158,14,전자부품,반도체,837억원,837
1034,037400,우리조명,KOSDAQ,58,14,전자부품,도매,704억원,704
1035,010050,우리종금,KOSPI,70,4,"은행, 증권 및 기타금융",기타금융업,"7,912억원",7912
1036,066590,우수AMS,KOSDAQ,133,7,운수장비,"운송장비,부품","1,451억원",1451
1037,017370,우신시스템,KOSPI,66,7,운수장비,기계,822억원,822
1038,046940,우원개발,KOSDAQ,103,15,건설,전문건설,922억원,922
1039,215380,우정바이오,KOSDAQ,73,0,"건설, 장비, 기기","연구,개발",863억원,863
1040,065680,우주일렉트로,KOSDAQ,96,14,전자부품,IT부품,"2,906억원",2906
1041,105840,우진,KOSPI,52,0,"건설, 장비, 기기",의료정밀,"1,640억원",1640
1042,018620,우진비앤지,KOSDAQ,65,2,"음식료품, 담배 및 기타화학",제약,604억원,604
1043,049800,우진플라임,KOSPI,65,7,운수장비,기계,901억원,901
1044,016880,웅진,KOSPI,52,3,교육서비스 및 문구류,기타금융업,"1,499억원",1499
