,Unnamed: 0,index,ric,종목명,시가총액,시가총액_label,상장주식수,시장구분,btin,SIC,GICS
18,18,18,000480,조선내화,348000000000,"3,480억원","4,000,000",KOSPI,"내화, 비내화 요업제품 제조업",비금속광물,"비철,목재등"
19,19,19,000500,가온전선,73638141900,736억원,"4,160,347",KOSPI,절연선 및 케이블 제조업,전기전자,기계
20,20,20,000520,삼일제약,166075000000,"1,660억원","6,500,000",KOSPI,의약품 제조업,의약품,건강관리
21,21,21,000590,CS홀딩스,70769746600,707억원,"1,154,482",KOSPI,기타 금융업,기타금융업,철강
22,22,22,000640,동아쏘시오홀딩스,607691106000,"6,076억원","6,138,294",KOSPI,기타 금융업,기타금융업,건강관리
23,23,23,000650,천일고속,118625260000,"1,186억원","1,429,220",KOSPI,육상 여객 운송업,운수창고업,운송
24,24,24,000660,SK하이닉스,49212959874000,"492,129억원","728,002,365",KOSPI,반도체 제조업,전기전자,반도체
25,25,25,000670,영풍,1344689200000,"13,446억원","1,842,040",KOSPI,1차 비철금속 제조업,철강금속,IT하드웨어
26,26,26,000680,LS네트웍스,208039962240,"2,080억원","78,803,016",KOSPI,상품 종합 도매업,유통업,"화장품,의류,완구"
27,27,27,000700,유수홀딩스,158855053200,"1,588억원","26,041,812",KOSPI,회사 본부 및 경영 컨설팅 서비스업,서비스업,운송
28,28,28,000760,이화산업,60340000000,603억원,"2,800,000",KOSPI,기타 전문 도매업,유통업,화학
29,29,29,000860,강남제비스코,157625000000,"1,576억원","6,500,000",KOSPI,기타 화학제품 제조업,화학,"건설,건축관련"
30,30,30,000890,보해양조,127955973450,"1,279억원","96,570,546",KOSPI,알코올음료 제조업,음식료품,필수소비재
31,31,31,000910,유니온,59714442675,597억원,"15,611,619",KOSPI,"시멘트, 석회, 플라스터 및 그 제품 제조업",비금속광물,"건설,건축관련"
32,32,32,000950,전방,28728000000,287억원,"1,680,000",KOSPI,방적 및 가공사 제조업,섬유의복,"화장품,의류,완구"
33,33,33,000990,DB하이텍,519463479600,"5,194억원","44,398,588",KOSPI,반도체 제조업,전기전자,반도체
34,34,34,001000,신라섬유,59115809900,591억원,"24,277,540",KOSDAQ,부동산 임대 및 공급업,소매,통신서비스
35,35,35,001020,페이퍼코리아,47114543454,471억원,"54,216,966",KOSPI,"펄프, 종이 및 판지 제조업",종이목재,"비철,목재등"
36,36,36,001040,CJ,3851363736000,"38,513억원","29,176,998",KOSPI,기타 금융업,기타금융업,"상사,자본재"
37,37,37,001060,JW중외제약,749636661000,"7,496억원","19,805,460",KOSPI,의약품 제조업,의약품,건강관리
38,38,38,001070,대한방직,73670000000,736억원,"5,300,000",KOSPI,직물직조 및 직물제품 제조업,섬유의복,"화장품,의류,완구"
39,39,39,001080,만호제강,71795000000,717억원,"4,150,000",KOSPI,1차 철강 제조업,철강금속,철강
40,40,40,001130,대한제분,301665000000,"3,016억원","1,690,000",KOSPI,"곡물가공품, 전분 및 전분제품 제조업",음식료품,필수소비재
41,41,41,001140,국보,19598841600,195억원,"1,682,304",KOSPI,도로 화물 운송업,운수창고업,운송
42,42,42,001210,금호전기,44998863600,449억원,"6,976,568",KOSPI,전구 및 조명장치 제조업,전기전자,디스플레이
43,43,43,001230,동국제강,741512366490,"7,415억원","95,432,737",KOSPI,1차 철강 제조업,철강금속,철강
44,44,44,001250,GS글로벌,210048429380,"2,100억원","82,533,764",KOSPI,상품 종합 도매업,유통업,"상사,자본재"
45,45,45,001260,남광토건,145425910000,"1,454억원","9,826,075",KOSPI,토목 건설업,건설업,"건설,건축관련"
46,46,46,001270,부국증권,235396412200,"2,353억원","10,369,886",KOSPI,금융 지원 서비스업,증권,증권
47,47,47,001340,백광산업,112071425465,"1,120억원","44,918,407",KOSPI,기초 화학물질 제조업,화학,화학
48,48,48,001360,삼성제약,161019904955,"1,610억원","58,235,047",KOSPI,의약품 제조업,의약품,건강관리
49,49,49,001390,KG케미칼,232295559900,"2,322억원","12,455,526",KOSPI,기초 화학물질 제조업,화학,화학
50,50,50,001420,태원물산,31844000000,318억원,"7,600,000",KOSPI,자동차 신품 부품 제조업,운수장비,자동차
51,51,51,001430,세아베스틸,579173221850,"5,791억원","35,862,119",KOSPI,1차 철강 제조업,철강금속,철강
52,52,52,001440,대한전선,907861389540,"9,078억원","856,473,009",KOSPI,절연선 및 케이블 제조업,전기전자,기계
53,53,53,001460,BYC,160526055000,"1,605억원","624,615",KOSPI,봉제의복 제조업,섬유의복,"화장품,의류,완구"
54,54,54,001470,삼부토건,126247936790,"1,262억원","24,803,131",KOSPI,토목 건설업,건설업,"건설,건축관련"
55,55,55,001510,SK증권,250962040384,"2,509억원","356,480,171",KOSPI,금융 지원 서비스업,증권,증권
56,56,56,001520,동양,451112879070,"4,511억원","238,684,063",KOSPI,"시멘트, 석회, 플라스터 및 그 제품 제조업",비금속광물,"건설,건축관련"
57,57,57,001540,안국약품,142814499000,"1,428억원","13,042,420",KOSDAQ,의약품 제조업,제약,건강관리
58,58,58,001550,조비,125132959900,"1,251억원","5,192,239",KOSPI,"비료, 농약 및 살균, 살충제 제조업",화학,화학
59,59,59,001560,제일연마,60000000000,600억원,"10,000,000",KOSPI,기타 비금속 광물제품 제조업,비금속광물,"비철,목재등"
60,60,60,001570,금양,102551531000,"1,025억원","43,179,592",KOSPI,기초 화학물질 제조업,화학,화학
61,61,61,001630,종근당홀딩스,304098562700,"3,040억원","5,009,861",KOSPI,의약품 제조업,의약품,건강관리
62,62,62,001680,대상,796904575000,"7,969억원","34,648,025",KOSPI,기타 식품 제조업,음식료품,필수소비재
63,63,63,001720,신영증권,550972111900,"5,509억원","9,386,237",KOSPI,금융 지원 서비스업,증권,증권
64,64,64,001740,SK네트웍스,1161518187960,"11,615억원","248,187,647",KOSPI,기타 전문 도매업,유통업,"상사,자본재"
65,65,65,001780,알루코,210530588150,"2,105억원","74,524,102",KOSPI,1차 비철금속 제조업,철강금속,"비철,목재등"
66,66,66,001790,대한제당,171938038900,"1,719억원","8,840,002",KOSPI,"곡물가공품, 전분 및 전분제품 제조업",음식료품,필수소비재
67,67,67,001800,오리온홀딩스,1027366405200,"10,273억원","62,644,293",KOSPI,기타 금융업,기타금융업,필수소비재
68,68,68,001810,무림SP,55454437500,554억원,"22,137,500",KOSDAQ,"펄프, 종이 및 판지 제조업","종이,목재","비철,목재등"
69,69,69,001840,이화공영,133886937600,"1,338억원","19,805,760",KOSDAQ,건물 건설업,종합건설,"건설,건축관련"
70,70,70,001940,KISCO홀딩스,216173646000,"2,161억원","18,476,380",KOSPI,1차 철강 제조업,철강금속,철강
71,71,71,002020,코오롱,461495870300,"4,614억원","12,626,426",KOSPI,기타 금융업,기타금융업,화학
72,72,72,002030,아세아,246490200000,"2,464억원","2,191,024",KOSPI,회사 본부 및 경영 컨설팅 서비스업,서비스업,"비철,목재등"
73,73,73,002100,경농,200648687500,"2,006억원","21,691,750",KOSPI,"비료, 농약 및 살균, 살충제 제조업",화학,화학
74,74,74,002140,고려산업,55989009125,559억원,"24,939,425",KOSPI,"곡물가공품, 전분 및 전분제품 제조업",음식료품,필수소비재
75,75,75,002150,도화엔지니어링,227272800000,"2,272억원","33,720,000",KOSPI,"건축기술, 엔지니어링 및 관련 기술 서비스업",서비스업,"건설,건축관련"
76,76,76,002170,삼양통상,124950000000,"1,249억원","3,000,000",KOSPI,"가죽, 가방 및 유사제품 제조업",미분류,"화장품,의류,완구"
77,77,77,002210,동성제약,596633433400,"5,966억원","24,756,574",KOSPI,의약품 제조업,의약품,건강관리
78,78,78,002230,피에스텍,84184360040,841억원,"19,669,243",KOSDAQ,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","의료,정밀기기",IT가전
79,79,79,002240,고려제강,411000000000,"4,110억원","20,000,000",KOSPI,1차 철강 제조업,철강금속,철강
80,80,80,002270,롯데푸드,717605580000,"7,176억원","1,131,870",KOSPI,낙농제품 및 식용빙과류 제조업,음식료품,필수소비재
81,81,81,002290,삼일기업공사,40238000000,402억원,"12,400,000",KOSDAQ,건물 건설업,종합건설,"건설,건축관련"
82,82,82,002310,아세아제지,286608064000,"2,866억원","8,956,502",KOSPI,"골판지, 종이 상자 및 종이용기 제조업",종이목재,"비철,목재등"
83,83,83,002350,넥센타이어,857523960060,"8,575억원","97,667,877",KOSPI,고무제품 제조업,화학,자동차
84,84,84,002360,SH에너지화학,114467741900,"1,144억원","111,133,730",KOSPI,기초 화학물질 제조업,화학,화학
85,85,85,002410,범양건영,40227535440,402억원,"24,831,812",KOSPI,건물 건설업,건설업,"건설,건축관련"
86,86,86,002420,세기상사,31710657600,317억원,"407,592",KOSPI,"영화, 비디오물, 방송프로그램 제작 및 배급업",서비스업,"미디어,교육"
87,87,87,002450,삼익악기,160239719550,"1,602억원","90,530,915",KOSPI,악기 제조업,미분류,"화장품,의류,완구"
88,88,88,002600,조흥,110700000000,"1,107억원","600,000",KOSPI,기타 식품 제조업,음식료품,필수소비재
89,89,89,002620,제일파마홀딩스,128409731850,"1,284억원","4,345,507",KOSPI,회사 본부 및 경영 컨설팅 서비스업,서비스업,건강관리
90,90,90,002630,오리엔트바이오,129266424768,"1,292억원","168,535,104",KOSPI,의약품 제조업,의약품,자동차
91,91,91,002690,동일제강,44925000000,449억원,"15,000,000",KOSPI,1차 철강 제조업,철강금속,철강
92,92,92,002720,국제약품,81798694710,817억원,"18,057,107",KOSPI,의약품 제조업,의약품,건강관리
93,93,93,002760,보락,146755000000,"1,467억원","59,900,000",KOSPI,기타 화학제품 제조업,화학,필수소비재
94,94,94,002780,진흥기업,321957076630,"3,219억원","145,353,082",KOSPI,토목 건설업,건설업,"건설,건축관련"
95,95,95,002800,신신제약,125004920000,"1,250억원","15,170,500",KOSDAQ,의약품 제조업,제약,건강관리
96,96,96,002810,삼영무역,240412695800,"2,404억원","16,466,623",KOSPI,기타 전문 도매업,유통업,화학
97,97,97,002840,미원상사,194269810000,"1,942억원","792,938",KOSPI,기타 화학제품 제조업,화학,화학
98,98,98,002870,신풍제지,43523581500,435억원,"34,958,700",KOSPI,"펄프, 종이 및 판지 제조업",종이목재,"비철,목재등"
99,99,99,002880,대유에이텍,118291719025,"1,182억원","103,311,545",KOSPI,자동차 신품 부품 제조업,운수장비,자동차
100,100,100,002920,유성기업,72393525000,723억원,"25,947,500",KOSPI,자동차 신품 부품 제조업,운수장비,자동차
101,101,101,003000,부광약품,1317054126850,"13,170억원","48,870,283",KOSPI,의약품 제조업,의약품,건강관리
102,102,102,003030,세아제강지주,163563290000,"1,635억원","3,163,700",KOSPI,기타 금융업,기타금융업,철강
103,103,103,003060,에이프로젠제약,319870705210,"3,198억원","107,882,194",KOSPI,의약품 제조업,의약품,건강관리
104,104,104,003070,코오롱글로벌,170170456500,"1,701억원","25,210,438",KOSPI,토목 건설업,건설업,"건설,건축관련"
105,105,105,003080,성보화학,123323200000,"1,233억원","20,020,000",KOSPI,"비료, 농약 및 살균, 살충제 제조업",화학,화학
106,106,106,003090,대웅,959342670000,"9,593억원","58,141,980",KOSPI,기타 금융업,기타금융업,건강관리
107,107,107,003100,선광,115830000000,"1,158억원","6,600,000",KOSDAQ,기타 운송관련 서비스업,여행운송,운송
108,108,108,003120,일성신약,252168000000,"2,521억원","2,660,000",KOSPI,의약품 제조업,의약품,건강관리
109,109,109,003160,디아이,115120749175,"1,151억원","31,496,785",KOSPI,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",의료정밀,반도체
110,110,110,003200,일신방직,228480000000,"2,284억원","2,400,000",KOSPI,방적 및 가공사 제조업,섬유의복,"화장품,의류,완구"
111,111,111,003220,대원제약,300803044500,"3,008억원","19,098,606",KOSPI,의약품 제조업,의약품,건강관리
112,112,112,003230,삼양식품,451227598500,"4,512억원","7,533,015",KOSPI,기타 식품 제조업,음식료품,필수소비재
113,113,113,003240,태광산업,1495296200000,"14,952억원","1,113,400",KOSPI,화학섬유 제조업,화학,화학
114,114,114,003310,대주산업,48664481250,486억원,"35,392,350",KOSDAQ,동물용 사료 및 조제식품 제조업,"음식료,담배",필수소비재
115,115,115,003380,하림지주,1020067758200,"10,200억원","93,584,198",KOSDAQ,기타 금융업,금융,필수소비재
116,116,116,003460,유화증권,156498665400,"1,564억원","11,340,483",KOSPI,금융 지원 서비스업,증권,증권
117,117,117,003470,유안타증권,691602135840,"6,916억원","199,596,576",KOSPI,금융 지원 서비스업,증권,증권
118,118,118,003490,대한항공,3129872922000,"31,298억원","94,844,634",KOSPI,항공 여객 운송업,운수창고업,운송
119,119,119,003520,영진약품,1137592786820,"11,375억원","182,892,731",KOSPI,의약품 제조업,의약품,건강관리
120,120,120,003540,대신증권,606742130000,"6,067억원","50,773,400",KOSPI,금융 지원 서비스업,증권,증권
121,121,121,003550,LG,12441369145100,"124,413억원","172,557,131",KOSPI,기타 금융업,기타금융업,"상사,자본재"
122,122,122,003580,넥스트사이언스,194036381020,"1,940억원","22,510,021",KOSPI,기타 비금속광물 광업,미분류,"건설,건축관련"
123,123,123,003610,방림,104515802300,"1,045억원","4,231,409",KOSPI,직물직조 및 직물제품 제조업,섬유의복,"화장품,의류,완구"
124,124,124,003690,코리안리,1104988484880,"11,049억원","120,369,116",KOSPI,재 보험업,보험업,보험
125,125,125,003780,진양산업,44980000000,449억원,"13,000,000",KOSPI,플라스틱제품 제조업,화학,화학
126,126,126,003800,에이스침대,255070000000,"2,550억원","11,090,000",KOSDAQ,가구 제조업,기타제조,"건설,건축관련"
127,127,127,003830,대한화섬,146080000000,"1,460억원","1,328,000",KOSPI,화학섬유 제조업,화학,화학
128,128,128,003850,보령제약,488410000000,"4,884억원","44,200,000",KOSPI,의약품 제조업,의약품,건강관리
129,129,129,003920,남양유업,464400000000,"4,644억원","720,000",KOSPI,낙농제품 및 식용빙과류 제조업,음식료품,필수소비재
130,130,130,003960,사조대림,136497167500,"1,364억원","5,960,575",KOSPI,수산물 가공 및 저장 처리업,음식료품,필수소비재
131,131,131,004000,롯데정밀화학,1078440000000,"10,784억원","25,800,000",KOSPI,기초 화학물질 제조업,화학,화학
132,132,132,004060,SG세계물산,138661097600,"1,386억원","202,424,960",KOSPI,상품 종합 도매업,유통업,"화장품,의류,완구"
133,133,133,004080,신흥,97920000000,979억원,"9,600,000",KOSPI,기계장비 및 관련 물품 도매업,유통업,건강관리
134,134,134,004140,동방,50867693760,508억원,"33,465,588",KOSPI,기타 운송관련 서비스업,운수창고업,운송
135,135,135,004170,신세계,2791108813500,"27,911억원","9,845,181",KOSPI,종합 소매업,유통업,소매(유통)
136,136,136,004270,남성,50153841600,501억원,"36,212,160",KOSPI,기타 전문 도매업,유통업,IT하드웨어
137,137,137,004360,세방,240393190500,"2,403억원","19,308,690",KOSPI,도로 화물 운송업,운수창고업,운송
138,138,138,004370,농심,1529784463000,"15,297억원","6,082,642",KOSPI,기타 식품 제조업,음식료품,필수소비재
139,139,139,004380,삼익THK,221550000000,"2,215억원","21,000,000",KOSPI,일반 목적용 기계 제조업,기계,기계
140,140,140,004430,송원산업,457200000000,"4,572억원","24,000,000",KOSPI,기타 화학제품 제조업,화학,화학
141,141,141,004450,삼화왕관,93930924400,939억원,"2,154,379",KOSPI,기타 금속 가공제품 제조업,기계,"비철,목재등"
142,142,142,004490,세방전지,517300000000,"5,173억원","14,000,000",KOSPI,일차전지 및 축전지 제조업,전기전자,자동차
143,143,143,004540,깨끗한나라,125687338875,"1,256억원","37,240,693",KOSPI,"펄프, 종이 및 판지 제조업",종이목재,"비철,목재등"
144,144,144,004590,한국가구,64500000000,645억원,"3,000,000",KOSDAQ,생활용품 도매업,도매,필수소비재
145,145,145,004650,창해에탄올,123157859000,"1,231억원","9,190,885",KOSDAQ,알코올음료 제조업,"음식료,담배",필수소비재
146,146,146,004690,삼천리,371845792500,"3,718억원","4,055,025",KOSPI,연료용 가스 제조 및 배관공급업,전기가스업,유틸리티
147,147,147,004700,조광피혁,243025993900,"2,430억원","6,649,138",KOSPI,"가죽, 가방 및 유사제품 제조업",미분류,"화장품,의류,완구"
148,148,148,004770,써니전자,63400255200,634억원,"29,976,480",KOSPI,반도체 제조업,전기전자,IT하드웨어
149,149,149,004780,대륙제관,74586003310,745억원,"15,903,199",KOSDAQ,기타 금속 가공제품 제조업,금속,"비철,목재등"
150,150,150,004830,덕성,51116800000,511억원,"15,680,000",KOSPI,플라스틱제품 제조업,화학,"화장품,의류,완구"
151,151,151,004840,DRB동일,126814800000,"1,268억원","19,480,000",KOSPI,기타 금융업,기타금융업,자동차
152,152,152,004870,티웨이홀딩스,199153875360,"1,991억원","75,437,074",KOSPI,반도체 제조업,비금속광물,운송
153,153,153,004890,동일산업,145512900000,"1,455억원","2,425,215",KOSPI,1차 철강 제조업,철강금속,철강
154,154,154,004910,조광페인트,77696000000,776억원,"12,800,000",KOSPI,기타 화학제품 제조업,화학,"건설,건축관련"
155,155,155,004920,씨아이테크,26623862956,266억원,"49,212,316",KOSPI,그외 기타 제품 제조업,미분류,IT하드웨어
156,156,156,004970,신라교역,202400000000,"2,024억원","16,000,000",KOSPI,어로 어업,미분류,필수소비재
157,157,157,004980,성신양회,252089061000,"2,520억원","24,008,482",KOSPI,"시멘트, 석회, 플라스터 및 그 제품 제조업",비금속광물,"건설,건축관련"
158,158,158,004990,롯데지주,6632618885300,"66,326억원","116,566,237",KOSPI,기타 금융업,기타금융업,필수소비재
159,159,159,005030,부산주공,22868745120,228억원,"42,349,528",KOSPI,자동차 신품 부품 제조업,운수장비,자동차
160,160,160,005070,코스모신소재,374223936750,"3,742억원","19,747,965",KOSPI,기타 화학제품 제조업,화학,화학
161,161,161,005160,동국산업,133983870540,"1,339억원","54,244,482",KOSDAQ,1차 철강 제조업,금속,철강
162,162,162,005180,빙그레,710274476100,"7,102억원","9,851,241",KOSPI,낙농제품 및 식용빙과류 제조업,음식료품,필수소비재
163,163,163,005250,녹십자홀딩스,1171002429000,"11,710억원","47,028,210",KOSPI,회사 본부 및 경영 컨설팅 서비스업,서비스업,건강관리
164,164,164,005290,동진쎄미켐,414400821640,"4,144억원","51,414,494",KOSDAQ,기초 화학물질 제조업,반도체,반도체
165,165,165,005320,국동,32702342400,327억원,"13,740,480",KOSPI,생활용품 도매업,유통업,"화장품,의류,완구"
166,166,166,005360,모나미,49132998200,491억원,"18,897,307",KOSPI,생활용품 도매업,유통업,"화장품,의류,완구"
167,167,167,005390,신성통상,142558722880,"1,425억원","143,708,390",KOSPI,기타 전문 도매업,유통업,"화장품,의류,완구"
168,168,168,005420,코스모화학,236815445100,"2,368억원","15,840,498",KOSPI,기타 화학제품 제조업,화학,화학
169,169,169,005500,삼진제약,558085000000,"5,580억원","13,900,000",KOSPI,의약품 제조업,의약품,건강관리
170,170,170,005610,SPC삼립,1139029188000,"11,390억원","8,629,009",KOSPI,기타 식품 제조업,음식료품,필수소비재
171,171,171,005670,푸드웰,41840000000,418억원,"8,000,000",KOSDAQ,"과실, 채소 가공 및 저장 처리업","음식료,담배",필수소비재
172,172,172,005690,파미셀,878398617500,"8,783억원","59,958,950",KOSPI,기초 의약물질 및 생물학적 제제 제조업,의약품,화학
173,173,173,005710,대원산업,112611312000,"1,126억원","20,037,600",KOSDAQ,자동차 신품 부품 제조업,"운송장비,부품",자동차
174,174,174,005720,넥센,302523470050,"3,025억원","53,543,977",KOSPI,고무제품 제조업,화학,자동차
175,175,175,005740,크라운해태홀딩스,175198694600,"1,751억원","14,847,347",KOSPI,기타 금융업,기타금융업,필수소비재
176,176,176,005800,신영와코루,117000000000,"1,170억원","900,000",KOSPI,봉제의복 제조업,섬유의복,"화장품,의류,완구"
177,177,177,005810,풍산홀딩스,278931945200,"2,789억원","7,835,167",KOSPI,기타 금융업,기타금융업,"비철,목재등"
178,178,178,005820,원림,39930000000,399억원,"2,200,000",KOSPI,편조원단 제조업,섬유의복,"비철,목재등"
179,179,179,005830,DB손해보험,5161320000000,"51,613억원","70,800,000",KOSPI,보험업,보험업,보험
180,180,180,005850,에스엘,563853748500,"5,638억원","33,865,090",KOSPI,자동차 신품 부품 제조업,운수장비,자동차
181,181,181,005880,대한해운,523948510800,"5,239억원","24,426,504",KOSPI,해상 운송업,운수창고업,운송
182,182,182,005930,삼성전자,274426130925000,"2,744,261억원","6,419,324,700",KOSPI,통신 및 방송 장비 제조업,전기전자,반도체
183,183,183,005940,NH투자증권,3827160863200,"38,271억원","281,408,887",KOSPI,금융 지원 서비스업,증권,증권
184,184,184,005950,이수화학,158891200000,"1,588억원","15,278,000",KOSPI,기초 화학물질 제조업,화학,화학
185,185,185,005960,동부건설,149408808320,"1,494억원","20,867,152",KOSPI,토목 건설업,건설업,"건설,건축관련"
186,186,186,005990,매일홀딩스,150215428800,"1,502억원","13,718,304",KOSDAQ,낙농제품 및 식용빙과류 제조업,"음식료,담배",필수소비재
187,187,187,006040,동원산업,662550400000,"6,625억원","3,363,200",KOSPI,어로 어업,미분류,필수소비재
188,188,188,006050,국영지앤엠,50947054780,509억원,"34,895,243",KOSDAQ,유리 및 유리제품 제조업,비금속,"건설,건축관련"
189,189,189,006090,사조오양,92154387420,921억원,"9,422,739",KOSPI,수산물 가공 및 저장 처리업,음식료품,필수소비재
190,190,190,006110,삼아알미늄,50050000000,500억원,"11,000,000",KOSPI,1차 비철금속 제조업,철강금속,"비철,목재등"
191,191,191,006120,SK디스커버리,550194009500,"5,501억원","19,037,855",KOSPI,기타 금융업,기타금융업,에너지
192,192,192,006140,피제이전자,66300000000,663억원,"15,000,000",KOSDAQ,의료용 기기 제조업,"의료,정밀기기",건강관리
193,193,193,006220,제주은행,109869362910,"1,098억원","22,128,774",KOSPI,은행 및 저축기관,은행,은행
194,194,194,006260,LS,1713040000000,"17,130억원","32,200,000",KOSPI,기타 금융업,기타금융업,기계
195,195,195,006280,녹십자,1682861472000,"16,828억원","11,686,538",KOSPI,의약품 제조업,의약품,건강관리
196,196,196,006340,대원전선,107609330180,"1,076억원","68,107,171",KOSPI,절연선 및 케이블 제조업,전기전자,기계
197,197,197,006360,GS건설,3309366730750,"33,093억원","79,266,269",KOSPI,건물 건설업,건설업,"건설,건축관련"
198,198,198,006370,대구백화점,96961634560,969억원,"10,821,611",KOSPI,종합 소매업,유통업,소매(유통)
199,199,199,006380,카프로,191800000000,"1,918억원","40,000,000",KOSPI,기초 화학물질 제조업,화학,화학
200,200,200,006400,삼성SDI,14406169035000,"144,061억원","68,764,530",KOSPI,일차전지 및 축전지 제조업,전기전자,IT가전
201,201,201,006490,인스코비,611914024480,"6,119억원","89,723,464",KOSPI,전기 통신업,통신업,통신서비스
202,202,202,006570,대림통상,62498625000,624억원,"15,225,000",KOSPI,기타 금속 가공제품 제조업,기계,"건설,건축관련"
203,203,203,006580,대양제지,100956000000,"1,009억원","26,850,000",KOSDAQ,"펄프, 종이 및 판지 제조업","종이,목재","비철,목재등"
204,204,204,006620,동구바이오제약,194961200000,"1,949억원","9,604,000",KOSDAQ,의약품 제조업,제약,건강관리
205,205,205,006650,대한유화,1066000000000,"10,660억원","6,500,000",KOSPI,기초 화학물질 제조업,화학,화학
206,206,206,006660,삼성공조,71755352620,717억원,"8,126,314",KOSPI,자동차 신품 부품 제조업,운수장비,자동차
207,207,207,006730,서부T&D,470471847490,"4,704억원","51,871,207",KOSDAQ,상품 종합 도매업,"숙박,음식","호텔,레저서비스"
208,208,208,006740,영풍제지,74370000000,743억원,"22,200,000",KOSPI,"골판지, 종이 상자 및 종이용기 제조업",종이목재,"비철,목재등"
209,209,209,006840,AK홀딩스,650455245100,"6,504억원","13,247,561",KOSPI,기타 금융업,기타금융업,화학
210,210,210,006880,신송홀딩스,50272646500,502억원,"11,828,858",KOSPI,산업용 농·축산물 및 동·식물 도매업,유통업,필수소비재
211,211,211,006910,보성파워텍,114178250310,"1,141억원","45,854,719",KOSDAQ,"구조용 금속제품, 탱크 및 증기발생기 제조업",금속,기계
212,212,212,006920,모헨즈,58749600000,587억원,"10,920,000",KOSDAQ,"시멘트, 석회, 플라스터 및 그 제품 제조업",비금속,"건설,건축관련"
213,213,213,007070,GS리테일,2706550000000,"27,065억원","77,000,000",KOSPI,종합 소매업,유통업,소매(유통)
214,214,214,007110,일신석재,129352538700,"1,293억원","77,456,610",KOSPI,"건축자재, 철물 및 난방장치 도매업",유통업,"건설,건축관련"
215,215,215,007120,미래아이앤지,49514738482,495억원,"103,587,319",KOSPI,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",서비스업,소프트웨어
216,216,216,007160,사조산업,263500000000,"2,635억원","5,000,000",KOSPI,어로 어업,미분류,필수소비재
217,217,217,007210,벽산,155288400000,"1,552억원","68,560,000",KOSPI,기타 비금속 광물제품 제조업,비금속광물,"건설,건축관련"
218,218,218,007310,오뚜기,2592165403000,"25,921억원","3,605,237",KOSPI,기타 식품 제조업,음식료품,필수소비재
219,219,219,007330,푸른저축은행,125639724000,"1,256억원","15,082,800",KOSDAQ,은행 및 저축기관,금융,은행
220,220,220,007340,디티알오토모티브,307815354000,"3,078억원","9,994,005",KOSPI,일차전지 및 축전지 제조업,전기전자,자동차
221,221,221,007370,진양제약,46320000000,463억원,"12,000,000",KOSDAQ,의약품 제조업,제약,건강관리
222,222,222,007390,네이처셀,700344466800,"7,003억원","53,056,399",KOSDAQ,기초 의약물질 및 생물학적 제제 제조업,제약,필수소비재
223,223,223,007530,영신금속,21816045600,218억원,"12,832,968",KOSDAQ,기타 금속 가공제품 제조업,금속,자동차
