종목명,시가총액,상장주식수,시장구분,btin,SIC,GICS
코아스,"40,488,445,100","30,907,210",KOSPI,가구 제조업,미분류,"건설,건축관련"
STX중공업,"28,189,820,210","24,836,846",KOSPI,일반 목적용 기계 제조업,기계,조선
중앙백신,"188,244,000,000","9,960,000",KOSDAQ,기초 의약물질 및 생물학적 제제 제조업,제약,건강관리
유엔젤,"43,347,066,390","13,195,454",KOSPI,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",서비스업,소프트웨어
우리산업홀딩스,"78,382,465,150","18,887,341",KOSDAQ,자동차 신품 부품 제조업,"운송장비,부품",자동차
제넨바이오,"87,432,519,540","54,989,006",KOSDAQ,폐기물 처리업,환경,"상사,자본재"
농심홀딩스,"329,746,869,000","4,637,790",KOSPI,기타 금융업,기타금융업,필수소비재
율호,"62,718,105,660","35,433,958",KOSDAQ,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",소프트웨어,소프트웨어
메가스터디,"131,130,549,000","11,920,959",KOSDAQ,"서적, 잡지 및 기타 인쇄물 출판업","출판,매체복제","미디어,교육"
빛샘전자,"33,600,000,000","6,000,000",KOSDAQ,전자부품 제조업,반도체,IT하드웨어
에이치시티,"46,028,336,700","4,579,934",KOSDAQ,기타 과학기술 서비스업,전문기술,IT하드웨어
케이에스피,"28,358,927,680","7,542,268",KOSDAQ,일반 목적용 기계 제조업,"기계,장비",조선
에스모,"678,189,906,250","87,508,375",KOSDAQ,자동차 신품 부품 제조업,"운송장비,부품",자동차
엘엠에스,"53,641,402,650","8,895,755",KOSDAQ,전자부품 제조업,IT부품,디스플레이
듀오백,"22,499,915,200","11,968,040",KOSDAQ,가구 제조업,기타제조,"건설,건축관련"
금호타이어,"1,467,900,066,570","287,260,287",KOSPI,고무제품 제조업,화학,자동차
이노와이어리스,"121,550,625,000","6,002,500",KOSDAQ,통신 및 방송 장비 제조업,통신장비,IT하드웨어
에프알텍,"29,811,000,000","11,400,000",KOSDAQ,통신 및 방송 장비 제조업,통신장비,IT하드웨어
우리손에프앤지,"113,549,734,520","69,237,643",KOSDAQ,"도축, 육류 가공 및 저장 처리업","음식료,담배",필수소비재
WI,"69,104,327,940","10,566,411",KOSDAQ,특수 목적용 기계 제조업,반도체,반도체
삼원테크,"101,627,590,260","50,941,148",KOSDAQ,기타 금속 가공제품 제조업,금속,기계
아미노로직스,"169,066,674,700","87,826,844",KOSDAQ,기타 전문 도매업,도매,건강관리
원익QnC,"287,853,600,000","26,288,000",KOSDAQ,유리 및 유리제품 제조업,비금속,반도체
나노메딕스,"237,177,716,250","27,805,125",KOSPI,일반 목적용 기계 제조업,기계,기계
플랜티넷,"39,289,600,000","8,960,000",KOSDAQ,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",컴퓨터서비스,소프트웨어
새론오토모티브,"85,344,000,000","19,200,000",KOSPI,자동차 신품 부품 제조업,운수장비,자동차
세진중공업,"149,269,880,800","38,372,720",KOSPI,선박 및 보트 건조업,운수장비,조선
동국알앤에스,"38,824,000,000","18,400,000",KOSDAQ,기타 비금속 광물제품 제조업,비금속,"비철,목재등"
웰크론한텍,"40,467,777,570","19,362,573",KOSDAQ,건물 건설업,종합건설,기계
해성옵틱스,"49,024,500,000","16,675,000",KOSDAQ,사진장비 및 광학기기 제조업,IT부품,IT하드웨어
덕산하이메탈,"121,998,350,370","22,718,501",KOSDAQ,반도체 제조업,일반전기전자,반도체
유니퀘스트,"181,702,346,790","27,160,291",KOSPI,기계장비 및 관련 물품 도매업,유통업,반도체
STX엔진,"160,372,060,880","23,008,904",KOSPI,일반 목적용 기계 제조업,기계,조선
텔코웨어,"131,956,801,600","9,702,706",KOSPI,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",서비스업,소프트웨어
이베스트투자증권,"372,426,948,000","40,481,190",KOSDAQ,금융 지원 서비스업,금융서비스,증권
유비쿼스홀딩스,"112,740,666,840","18,696,628",KOSDAQ,기타 금융업,일반전기전자,IT하드웨어
국일제지,"99,863,483,148","116,391,006",KOSDAQ,기타 종이 및 판지 제품 제조업,"종이,목재","비철,목재등"
대봉엘에스,"73,614,884,560","11,086,579",KOSDAQ,의약품 제조업,제약,건강관리
HB테크놀러지,"214,853,958,720","78,990,426",KOSDAQ,특수 목적용 기계 제조업,"기계,장비",디스플레이
메디포스트,"645,210,522,000","7,868,421",KOSDAQ,기초 의약물질 및 생물학적 제제 제조업,제약,건강관리
컴투스,"1,713,807,144,000","12,866,420",KOSDAQ,소프트웨어 개발 및 공급업,디지털컨텐츠,소프트웨어
한양디지텍,"37,950,000,000","10,000,000",KOSDAQ,반도체 제조업,반도체,반도체
에이블씨엔씨,"235,571,816,870","24,823,163",KOSPI,기타 화학제품 제조업,화학,"화장품,의류,완구"
두올산업,"87,443,246,625","19,367,275",KOSDAQ,자동차 신품 부품 제조업,"운송장비,부품",자동차
대주전자재료,"257,556,682,500","14,551,225",KOSDAQ,전자부품 제조업,IT부품,IT하드웨어
코렌,"39,243,269,655","30,071,471",KOSDAQ,사진장비 및 광학기기 제조업,"의료,정밀기기",IT하드웨어
