,종목코드,종목명,시가총액_label,주식수_label,btin,SIC,GICS
147,004700,조광피혁,"2,430억원",664만주,"가죽, 가방 및 유사제품 제조업",미분류,"화장품,의류,완구"
148,004770,써니전자,634억원,"2,997만주",반도체 제조업,전기전자,IT하드웨어
149,004780,대륙제관,745억원,"1,590만주",기타 금속 가공제품 제조업,금속,"비철,목재등"
150,004830,덕성,511억원,"1,568만주",플라스틱제품 제조업,화학,"화장품,의류,완구"
151,004840,DRB동일,"1,268억원","1,948만주",기타 금융업,기타금융업,자동차
152,004870,티웨이홀딩스,"1,991억원","7,543만주",반도체 제조업,비금속광물,운송
153,004890,동일산업,"1,455억원",242만주,1차 철강 제조업,철강금속,철강
154,004910,조광페인트,776억원,"1,280만주",기타 화학제품 제조업,화학,"건설,건축관련"
155,004920,씨아이테크,266억원,"4,921만주",그외 기타 제품 제조업,미분류,IT하드웨어
156,004970,신라교역,"2,024억원","1,600만주",어로 어업,미분류,필수소비재
157,004980,성신양회,"2,520억원","2,400만주","시멘트, 석회, 플라스터 및 그 제품 제조업",비금속광물,"건설,건축관련"
158,004990,롯데지주,"66,326억원","11,656만주",기타 금융업,기타금융업,필수소비재
159,005030,부산주공,228억원,"4,234만주",자동차 신품 부품 제조업,운수장비,자동차
160,005070,코스모신소재,"3,742억원","1,974만주",기타 화학제품 제조업,화학,화학
161,005160,동국산업,"1,339억원","5,424만주",1차 철강 제조업,금속,철강
162,005180,빙그레,"7,102억원",985만주,낙농제품 및 식용빙과류 제조업,음식료품,필수소비재
163,005250,녹십자홀딩스,"11,710억원","4,702만주",회사 본부 및 경영 컨설팅 서비스업,서비스업,건강관리
164,005290,동진쎄미켐,"4,144억원","5,141만주",기초 화학물질 제조업,반도체,반도체
165,005320,국동,327억원,"1,374만주",생활용품 도매업,유통업,"화장품,의류,완구"
166,005360,모나미,491억원,"1,889만주",생활용품 도매업,유통업,"화장품,의류,완구"
167,005390,신성통상,"1,425억원","14,370만주",기타 전문 도매업,유통업,"화장품,의류,완구"
168,005420,코스모화학,"2,368억원","1,584만주",기타 화학제품 제조업,화학,화학
169,005500,삼진제약,"5,580억원","1,390만주",의약품 제조업,의약품,건강관리
170,005610,SPC삼립,"11,390억원",862만주,기타 식품 제조업,음식료품,필수소비재
171,005670,푸드웰,418억원,800만주,"과실, 채소 가공 및 저장 처리업","음식료,담배",필수소비재
172,005690,파미셀,"8,783억원","5,995만주",기초 의약물질 및 생물학적 제제 제조업,의약품,화학
173,005710,대원산업,"1,126억원","2,003만주",자동차 신품 부품 제조업,"운송장비,부품",자동차
