,quarter,시장구분,종목명,btin
62817,4,KOSDAQ,에이치엔티,전자부품 제조업
62819,3,KOSDAQ,에이치엔티,전자부품 제조업
62828,1,KOSDAQ,에이치엔티,전자부품 제조업
62832,2,KOSDAQ,에이치엔티,전자부품 제조업
62842,3,KOSDAQ,베셀,특수 목적용 기계 제조업
62844,1,KOSDAQ,베셀,특수 목적용 기계 제조업
62846,3,KOSDAQ,파버나인,전자부품 제조업
62847,4,KOSDAQ,서진시스템,통신 및 방송 장비 제조업
62853,3,KOSDAQ,서진시스템,통신 및 방송 장비 제조업
62862,2,KOSDAQ,서진시스템,통신 및 방송 장비 제조업
62863,1,KOSDAQ,서진시스템,통신 및 방송 장비 제조업
62914,1,KOSDAQ,유테크,전자부품 제조업
62915,2,KOSDAQ,유테크,전자부품 제조업
62916,3,KOSDAQ,유테크,전자부품 제조업
62917,4,KOSDAQ,유티아이,전자부품 제조업
62945,1,KOSDAQ,유티아이,전자부품 제조업
62948,3,KOSDAQ,유티아이,전자부품 제조업
62952,1,KOSDAQ,이즈미디어,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
62955,4,KOSDAQ,큐브엔터,오디오물 출판 및 원판 녹음업
62956,1,KOSDAQ,큐브엔터,오디오물 출판 및 원판 녹음업
62958,2,KOSDAQ,큐브엔터,오디오물 출판 및 원판 녹음업
62959,3,KOSDAQ,큐브엔터,오디오물 출판 및 원판 녹음업
62971,2,KOSPI,아세아시멘트,"시멘트, 석회, 플라스터 및 그 제품 제조업"
62972,1,KOSPI,아세아시멘트,"시멘트, 석회, 플라스터 및 그 제품 제조업"
62973,1,KOSDAQ,코미코,특수 목적용 기계 제조업
62974,2,KOSDAQ,코미코,특수 목적용 기계 제조업
62976,3,KOSDAQ,코미코,특수 목적용 기계 제조업
62977,4,KOSDAQ,코미코,특수 목적용 기계 제조업
62979,3,KOSDAQ,엔지켐생명과학,기초 의약물질 및 생물학적 제제 제조업
62990,1,KOSDAQ,SGA솔루션즈,소프트웨어 개발 및 공급업
62991,4,KOSDAQ,SGA솔루션즈,소프트웨어 개발 및 공급업
62996,3,KOSDAQ,SGA솔루션즈,소프트웨어 개발 및 공급업
63028,3,KOSDAQ,아이진,자연과학 및 공학 연구개발업
63046,2,KOSDAQ,아이진,자연과학 및 공학 연구개발업
63071,4,KOSDAQ,아이진,자연과학 및 공학 연구개발업
63127,2,KOSPI,종근당,의약품 제조업
63128,3,KOSPI,종근당,의약품 제조업
63130,1,KOSPI,종근당,의약품 제조업
63141,4,KOSDAQ,제노포커스,기초 의약물질 및 생물학적 제제 제조업
63143,3,KOSDAQ,제노포커스,기초 의약물질 및 생물학적 제제 제조업
63145,1,KOSDAQ,나노,기초 화학물질 제조업
63146,2,KOSDAQ,나노,기초 화학물질 제조업
63147,4,KOSDAQ,인텔리안테크,통신 및 방송 장비 제조업
63148,2,KOSDAQ,인텔리안테크,통신 및 방송 장비 제조업
63150,1,KOSDAQ,인텔리안테크,통신 및 방송 장비 제조업
63152,4,KOSDAQ,포시에스,소프트웨어 개발 및 공급업
63164,3,KOSDAQ,포시에스,소프트웨어 개발 및 공급업
63168,1,KOSDAQ,포시에스,소프트웨어 개발 및 공급업
63195,3,KOSDAQ,나무가,전자부품 제조업
63196,4,KOSDAQ,나무가,전자부품 제조업
63205,1,KOSDAQ,나무가,전자부품 제조업
63217,3,KOSDAQ,육일씨엔에쓰,전자부품 제조업
63218,4,KOSPI,더블유게임즈,소프트웨어 개발 및 공급업
63221,3,KOSPI,더블유게임즈,소프트웨어 개발 및 공급업
63224,1,KOSPI,더블유게임즈,소프트웨어 개발 및 공급업
63226,2,KOSPI,더블유게임즈,소프트웨어 개발 및 공급업
63232,2,KOSDAQ,케이사인,소프트웨어 개발 및 공급업
63233,1,KOSDAQ,케이사인,소프트웨어 개발 및 공급업
63247,2,KOSPI,쿠쿠홀딩스,기타 금융업
63256,3,KOSPI,쿠쿠홀딩스,기타 금융업
63257,4,KOSPI,쿠쿠홀딩스,기타 금융업
63266,1,KOSPI,코스맥스,기타 화학제품 제조업
63267,2,KOSPI,코스맥스,기타 화학제품 제조업
63273,3,KOSPI,코스맥스,기타 화학제품 제조업
63274,1,KOSDAQ,와이제이엠게임즈,전자부품 제조업
63276,2,KOSDAQ,와이제이엠게임즈,전자부품 제조업
63279,4,KOSDAQ,와이제이엠게임즈,전자부품 제조업
63288,3,KOSDAQ,와이제이엠게임즈,전자부품 제조업
63296,2,KOSPI,제이에스코퍼레이션,"가죽, 가방 및 유사제품 제조업"
63297,3,KOSPI,제이에스코퍼레이션,"가죽, 가방 및 유사제품 제조업"
63309,4,KOSDAQ,데브시스터즈,소프트웨어 개발 및 공급업
63314,3,KOSDAQ,데브시스터즈,소프트웨어 개발 및 공급업
63347,1,KOSDAQ,데브시스터즈,소프트웨어 개발 및 공급업
63397,1,KOSDAQ,알테오젠,자연과학 및 공학 연구개발업
63399,4,KOSDAQ,알테오젠,자연과학 및 공학 연구개발업
63405,2,KOSDAQ,알테오젠,자연과학 및 공학 연구개발업
63413,3,KOSDAQ,알테오젠,자연과학 및 공학 연구개발업
63425,2,KOSDAQ,애니젠,기초 의약물질 및 생물학적 제제 제조업
63428,4,KOSDAQ,애니젠,기초 의약물질 및 생물학적 제제 제조업
63430,3,KOSDAQ,애니젠,기초 의약물질 및 생물학적 제제 제조업
63431,1,KOSDAQ,애니젠,기초 의약물질 및 생물학적 제제 제조업
63453,4,KOSDAQ,디지캡,소프트웨어 개발 및 공급업
63454,3,KOSDAQ,디지캡,소프트웨어 개발 및 공급업
63526,2,KOSDAQ,디지캡,소프트웨어 개발 및 공급업
63532,1,KOSDAQ,디지캡,소프트웨어 개발 및 공급업
63605,1,KOSDAQ,고려시멘트,"시멘트, 석회, 플라스터 및 그 제품 제조업"
63606,3,KOSDAQ,고려시멘트,"시멘트, 석회, 플라스터 및 그 제품 제조업"
63613,2,KOSDAQ,콜마비앤에이치,기초 의약물질 및 생물학적 제제 제조업
63614,1,KOSDAQ,텔콘RF제약,통신 및 방송 장비 제조업
63616,4,KOSDAQ,비씨월드제약,의약품 제조업
63618,2,KOSDAQ,비씨월드제약,의약품 제조업
