,quarter,시장구분,종목명,btin
0,2,KOSPI,동화약품,의약품 제조업
102,1,KOSPI,동화약품,의약품 제조업
202,3,KOSPI,동화약품,의약품 제조업
205,4,KOSPI,동화약품,의약품 제조업
406,3,KOSPI,경방,종합 소매업
504,4,KOSPI,경방,종합 소매업
505,2,KOSPI,경방,종합 소매업
607,1,KOSPI,경방,종합 소매업
807,1,KOSPI,메리츠화재,보험업
808,2,KOSPI,메리츠화재,보험업
858,3,KOSPI,메리츠화재,보험업
1013,4,KOSPI,메리츠화재,보험업
1218,1,KOSPI,삼양홀딩스,기타 금융업
1220,4,KOSPI,삼양홀딩스,기타 금융업
1272,3,KOSPI,삼양홀딩스,기타 금융업
1429,2,KOSPI,삼양홀딩스,기타 금융업
1626,1,KOSPI,하이트진로,알코올음료 제조업
1655,3,KOSPI,하이트진로,알코올음료 제조업
1660,4,KOSPI,하이트진로,알코올음료 제조업
1677,2,KOSPI,하이트진로,알코올음료 제조업
1931,1,KOSPI,유한양행,의약품 제조업
1933,2,KOSPI,유한양행,의약품 제조업
1959,3,KOSPI,유한양행,의약품 제조업
1963,4,KOSPI,유한양행,의약품 제조업
1966,4,KOSPI,CJ대한통운,도로 화물 운송업
1989,3,KOSPI,CJ대한통운,도로 화물 운송업
2018,2,KOSPI,CJ대한통운,도로 화물 운송업
2168,1,KOSPI,CJ대한통운,도로 화물 운송업
2373,4,KOSPI,하이트진로홀딩스,기타 금융업
2374,3,KOSPI,하이트진로홀딩스,기타 금융업
2375,2,KOSPI,하이트진로홀딩스,기타 금융업
2376,1,KOSPI,하이트진로홀딩스,기타 금융업
2377,3,KOSPI,두산,회사 본부 및 경영 컨설팅 서비스업
2379,2,KOSPI,두산,회사 본부 및 경영 컨설팅 서비스업
2422,4,KOSPI,두산,회사 본부 및 경영 컨설팅 서비스업
2465,1,KOSPI,두산,회사 본부 및 경영 컨설팅 서비스업
2719,4,KOSPI,성창기업지주,회사 본부 및 경영 컨설팅 서비스업
2749,1,KOSPI,성창기업지주,회사 본부 및 경영 컨설팅 서비스업
2784,2,KOSPI,성창기업지주,회사 본부 및 경영 컨설팅 서비스업
2803,3,KOSPI,성창기업지주,회사 본부 및 경영 컨설팅 서비스업
2981,1,KOSPI,유유제약,의약품 제조업
2982,2,KOSPI,유유제약,의약품 제조업
3032,3,KOSPI,유유제약,의약품 제조업
3186,4,KOSPI,유유제약,의약품 제조업
3351,4,KOSPI,일동홀딩스,기타 금융업
3418,3,KOSPI,일동홀딩스,기타 금융업
3427,2,KOSPI,일동홀딩스,기타 금융업
3439,1,KOSPI,일동홀딩스,기타 금융업
3484,3,KOSDAQ,삼천당제약,의약품 제조업
3489,2,KOSDAQ,삼천당제약,의약품 제조업
3496,1,KOSDAQ,삼천당제약,의약품 제조업
3506,2,KOSPI,대유플러스,통신 및 방송 장비 제조업
3508,3,KOSPI,대유플러스,통신 및 방송 장비 제조업
3510,1,KOSPI,대유플러스,통신 및 방송 장비 제조업
3514,4,KOSPI,대유플러스,통신 및 방송 장비 제조업
3515,2,KOSPI,노루홀딩스,기타 금융업
3524,1,KOSPI,노루홀딩스,기타 금융업
3555,3,KOSPI,노루홀딩스,기타 금융업
3650,4,KOSPI,노루홀딩스,기타 금융업
3698,1,KOSPI,롯데손해보험,보험업
3747,2,KOSPI,롯데손해보험,보험업
3758,3,KOSPI,롯데손해보험,보험업
3762,4,KOSPI,롯데손해보험,보험업
3871,1,KOSPI,대원강업,자동차 신품 부품 제조업
3963,2,KOSPI,대원강업,자동차 신품 부품 제조업
3965,3,KOSPI,대원강업,자동차 신품 부품 제조업
4098,4,KOSPI,대원강업,자동차 신품 부품 제조업
4231,2,KOSDAQ,중앙에너비스,기타 전문 도매업
4232,4,KOSDAQ,중앙에너비스,기타 전문 도매업
4254,1,KOSDAQ,중앙에너비스,기타 전문 도매업
4255,3,KOSDAQ,중앙에너비스,기타 전문 도매업
4556,1,KOSPI,조선내화,"내화, 비내화 요업제품 제조업"
4647,2,KOSPI,조선내화,"내화, 비내화 요업제품 제조업"
4649,4,KOSPI,조선내화,"내화, 비내화 요업제품 제조업"
4657,3,KOSPI,조선내화,"내화, 비내화 요업제품 제조업"
4944,3,KOSPI,가온전선,절연선 및 케이블 제조업
4945,4,KOSPI,가온전선,절연선 및 케이블 제조업
4946,2,KOSPI,가온전선,절연선 및 케이블 제조업
4968,1,KOSPI,가온전선,절연선 및 케이블 제조업
5167,4,KOSPI,삼일제약,의약품 제조업
5168,1,KOSPI,삼일제약,의약품 제조업
5170,2,KOSPI,삼일제약,의약품 제조업
5172,3,KOSPI,삼일제약,의약품 제조업
5176,3,KOSPI,CS홀딩스,기타 금융업
5180,4,KOSPI,CS홀딩스,기타 금융업
5286,1,KOSPI,CS홀딩스,기타 금융업
5307,2,KOSPI,CS홀딩스,기타 금융업
5413,2,KOSPI,동아쏘시오홀딩스,기타 금융업
5414,1,KOSPI,동아쏘시오홀딩스,기타 금융업
5419,3,KOSPI,동아쏘시오홀딩스,기타 금융업
5422,4,KOSPI,동아쏘시오홀딩스,기타 금융업
5425,3,KOSPI,천일고속,육상 여객 운송업
5428,4,KOSPI,천일고속,육상 여객 운송업
5458,1,KOSPI,천일고속,육상 여객 운송업
5550,2,KOSPI,천일고속,육상 여객 운송업
5620,4,KOSPI,SK하이닉스,반도체 제조업
5624,3,KOSPI,SK하이닉스,반도체 제조업
5635,2,KOSPI,SK하이닉스,반도체 제조업
5637,1,KOSPI,SK하이닉스,반도체 제조업
5682,1,KOSPI,영풍,1차 비철금속 제조업
5868,3,KOSPI,영풍,1차 비철금속 제조업
5890,4,KOSPI,영풍,1차 비철금속 제조업
6045,2,KOSPI,영풍,1차 비철금속 제조업
6164,4,KOSPI,LS네트웍스,상품 종합 도매업
6196,1,KOSPI,LS네트웍스,상품 종합 도매업
6232,2,KOSPI,LS네트웍스,상품 종합 도매업
6292,3,KOSPI,LS네트웍스,상품 종합 도매업
6348,1,KOSPI,유수홀딩스,회사 본부 및 경영 컨설팅 서비스업
6350,4,KOSPI,유수홀딩스,회사 본부 및 경영 컨설팅 서비스업
6368,3,KOSPI,유수홀딩스,회사 본부 및 경영 컨설팅 서비스업
6369,2,KOSPI,유수홀딩스,회사 본부 및 경영 컨설팅 서비스업
6627,3,KOSPI,이화산업,기타 전문 도매업
6637,2,KOSPI,이화산업,기타 전문 도매업
6639,4,KOSPI,이화산업,기타 전문 도매업
6745,1,KOSPI,이화산업,기타 전문 도매업
6782,2,KOSPI,강남제비스코,기타 화학제품 제조업
6783,1,KOSPI,강남제비스코,기타 화학제품 제조업
6886,4,KOSPI,강남제비스코,기타 화학제품 제조업
6890,3,KOSPI,강남제비스코,기타 화학제품 제조업
6906,1,KOSPI,보해양조,알코올음료 제조업
6917,4,KOSPI,보해양조,알코올음료 제조업
6924,2,KOSPI,보해양조,알코올음료 제조업
6961,3,KOSPI,보해양조,알코올음료 제조업
7053,3,KOSPI,유니온,"시멘트, 석회, 플라스터 및 그 제품 제조업"
7081,2,KOSPI,유니온,"시멘트, 석회, 플라스터 및 그 제품 제조업"
7099,1,KOSPI,유니온,"시멘트, 석회, 플라스터 및 그 제품 제조업"
7137,4,KOSPI,유니온,"시멘트, 석회, 플라스터 및 그 제품 제조업"
7248,3,KOSPI,전방,방적 및 가공사 제조업
7276,4,KOSPI,전방,방적 및 가공사 제조업
7302,1,KOSPI,전방,방적 및 가공사 제조업
7307,2,KOSPI,전방,방적 및 가공사 제조업
7383,1,KOSPI,DB하이텍,반도체 제조업
7389,4,KOSPI,DB하이텍,반도체 제조업
7411,2,KOSPI,DB하이텍,반도체 제조업
7420,3,KOSPI,DB하이텍,반도체 제조업
7470,1,KOSDAQ,신라섬유,부동산 임대 및 공급업
7479,4,KOSDAQ,신라섬유,부동산 임대 및 공급업
7563,2,KOSDAQ,신라섬유,부동산 임대 및 공급업
7576,3,KOSDAQ,신라섬유,부동산 임대 및 공급업
7735,2,KOSPI,페이퍼코리아,"펄프, 종이 및 판지 제조업"
7740,3,KOSPI,페이퍼코리아,"펄프, 종이 및 판지 제조업"
7741,1,KOSPI,페이퍼코리아,"펄프, 종이 및 판지 제조업"
7803,4,KOSPI,페이퍼코리아,"펄프, 종이 및 판지 제조업"
7820,2,KOSPI,CJ,기타 금융업
7821,4,KOSPI,CJ,기타 금융업
7832,3,KOSPI,CJ,기타 금융업
7991,1,KOSPI,CJ,기타 금융업
8064,3,KOSPI,JW중외제약,의약품 제조업
8083,4,KOSPI,JW중외제약,의약품 제조업
8230,1,KOSPI,JW중외제약,의약품 제조업
8267,2,KOSPI,JW중외제약,의약품 제조업
8381,4,KOSPI,대한방직,직물직조 및 직물제품 제조업
8405,1,KOSPI,대한방직,직물직조 및 직물제품 제조업
8407,2,KOSPI,대한방직,직물직조 및 직물제품 제조업
8442,3,KOSPI,대한방직,직물직조 및 직물제품 제조업
8465,1,KOSPI,만호제강,1차 철강 제조업
8468,3,KOSPI,만호제강,1차 철강 제조업
8475,4,KOSPI,만호제강,1차 철강 제조업
8481,2,KOSPI,대한제분,"곡물가공품, 전분 및 전분제품 제조업"
8482,4,KOSPI,대한제분,"곡물가공품, 전분 및 전분제품 제조업"
8484,3,KOSPI,대한제분,"곡물가공품, 전분 및 전분제품 제조업"
8488,1,KOSPI,대한제분,"곡물가공품, 전분 및 전분제품 제조업"
8493,1,KOSPI,국보,도로 화물 운송업
8503,2,KOSPI,국보,도로 화물 운송업
8594,3,KOSPI,국보,도로 화물 운송업
8618,4,KOSPI,국보,도로 화물 운송업
8692,2,KOSPI,금호전기,전구 및 조명장치 제조업
8712,3,KOSPI,금호전기,전구 및 조명장치 제조업
8731,1,KOSPI,금호전기,전구 및 조명장치 제조업
8773,4,KOSPI,금호전기,전구 및 조명장치 제조업
8861,2,KOSPI,동국제강,1차 철강 제조업
8916,3,KOSPI,동국제강,1차 철강 제조업
9089,1,KOSPI,동국제강,1차 철강 제조업
9091,4,KOSPI,동국제강,1차 철강 제조업
9499,1,KOSPI,GS글로벌,상품 종합 도매업
9502,3,KOSPI,GS글로벌,상품 종합 도매업
9600,4,KOSPI,GS글로벌,상품 종합 도매업
9690,2,KOSPI,GS글로벌,상품 종합 도매업
9851,4,KOSPI,남광토건,토목 건설업
9864,1,KOSPI,남광토건,토목 건설업
9878,2,KOSPI,남광토건,토목 건설업
9900,3,KOSPI,남광토건,토목 건설업
9911,2,KOSPI,부국증권,금융 지원 서비스업
9924,3,KOSPI,부국증권,금융 지원 서비스업
9948,1,KOSPI,부국증권,금융 지원 서비스업
9989,4,KOSPI,부국증권,금융 지원 서비스업
10067,2,KOSPI,백광산업,기초 화학물질 제조업
10068,1,KOSPI,백광산업,기초 화학물질 제조업
10076,4,KOSPI,백광산업,기초 화학물질 제조업
10085,3,KOSPI,백광산업,기초 화학물질 제조업
10088,4,KOSPI,삼성제약,의약품 제조업
10089,2,KOSPI,삼성제약,의약품 제조업
10103,3,KOSPI,삼성제약,의약품 제조업
10109,1,KOSPI,삼성제약,의약품 제조업
10142,1,KOSPI,KG케미칼,기초 화학물질 제조업
10143,3,KOSPI,KG케미칼,기초 화학물질 제조업
10144,4,KOSPI,KG케미칼,기초 화학물질 제조업
10151,2,KOSPI,KG케미칼,기초 화학물질 제조업
10177,3,KOSPI,태원물산,자동차 신품 부품 제조업
10182,4,KOSPI,태원물산,자동차 신품 부품 제조업
10194,2,KOSPI,태원물산,자동차 신품 부품 제조업
10196,1,KOSPI,태원물산,자동차 신품 부품 제조업
10209,3,KOSPI,세아베스틸,1차 철강 제조업
10230,2,KOSPI,세아베스틸,1차 철강 제조업
10254,1,KOSPI,세아베스틸,1차 철강 제조업
10287,4,KOSPI,세아베스틸,1차 철강 제조업
10299,1,KOSPI,대한전선,절연선 및 케이블 제조업
10300,4,KOSPI,대한전선,절연선 및 케이블 제조업
10326,3,KOSPI,대한전선,절연선 및 케이블 제조업
10335,2,KOSPI,대한전선,절연선 및 케이블 제조업
10385,2,KOSPI,BYC,봉제의복 제조업
10430,3,KOSPI,BYC,봉제의복 제조업
10489,4,KOSPI,BYC,봉제의복 제조업
10711,1,KOSPI,BYC,봉제의복 제조업
10908,2,KOSPI,삼부토건,토목 건설업
10909,1,KOSPI,삼부토건,토목 건설업
10914,3,KOSPI,삼부토건,토목 건설업
10916,4,KOSPI,삼부토건,토목 건설업
10942,3,KOSPI,SK증권,금융 지원 서비스업
10943,1,KOSPI,SK증권,금융 지원 서비스업
10944,4,KOSPI,SK증권,금융 지원 서비스업
11106,2,KOSPI,SK증권,금융 지원 서비스업
11160,3,KOSPI,동양,"시멘트, 석회, 플라스터 및 그 제품 제조업"
11169,4,KOSPI,동양,"시멘트, 석회, 플라스터 및 그 제품 제조업"
11178,2,KOSPI,동양,"시멘트, 석회, 플라스터 및 그 제품 제조업"
11289,1,KOSPI,동양,"시멘트, 석회, 플라스터 및 그 제품 제조업"
11365,1,KOSDAQ,안국약품,의약품 제조업
11366,3,KOSDAQ,안국약품,의약품 제조업
11387,2,KOSDAQ,안국약품,의약품 제조업
11394,3,KOSPI,조비,"비료, 농약 및 살균, 살충제 제조업"
11441,1,KOSPI,조비,"비료, 농약 및 살균, 살충제 제조업"
11461,2,KOSPI,조비,"비료, 농약 및 살균, 살충제 제조업"
11491,4,KOSPI,조비,"비료, 농약 및 살균, 살충제 제조업"
11535,1,KOSPI,제일연마,기타 비금속 광물제품 제조업
11557,2,KOSPI,제일연마,기타 비금속 광물제품 제조업
11560,4,KOSPI,제일연마,기타 비금속 광물제품 제조업
11570,3,KOSPI,제일연마,기타 비금속 광물제품 제조업
11581,1,KOSPI,금양,기초 화학물질 제조업
11585,2,KOSPI,금양,기초 화학물질 제조업
11609,4,KOSPI,금양,기초 화학물질 제조업
11628,3,KOSPI,금양,기초 화학물질 제조업
11636,3,KOSPI,종근당홀딩스,의약품 제조업
11637,1,KOSPI,종근당홀딩스,의약품 제조업
11640,2,KOSPI,종근당홀딩스,의약품 제조업
11656,4,KOSPI,종근당홀딩스,의약품 제조업
11710,3,KOSPI,대상,기타 식품 제조업
11712,2,KOSPI,대상,기타 식품 제조업
11740,1,KOSPI,대상,기타 식품 제조업
11791,4,KOSPI,대상,기타 식품 제조업
11887,3,KOSPI,신영증권,금융 지원 서비스업
11889,2,KOSPI,신영증권,금융 지원 서비스업
11977,4,KOSPI,신영증권,금융 지원 서비스업
12051,3,KOSPI,SK네트웍스,기타 전문 도매업
12053,4,KOSPI,SK네트웍스,기타 전문 도매업
12055,1,KOSPI,SK네트웍스,기타 전문 도매업
12062,2,KOSPI,SK네트웍스,기타 전문 도매업
12109,4,KOSPI,알루코,1차 비철금속 제조업
12110,1,KOSPI,알루코,1차 비철금속 제조업
12113,2,KOSPI,알루코,1차 비철금속 제조업
12118,3,KOSPI,알루코,1차 비철금속 제조업
12135,4,KOSPI,대한제당,"곡물가공품, 전분 및 전분제품 제조업"
12148,3,KOSPI,대한제당,"곡물가공품, 전분 및 전분제품 제조업"
12152,4,KOSPI,오리온홀딩스,기타 금융업
12153,1,KOSPI,오리온홀딩스,기타 금융업
12172,3,KOSPI,오리온홀딩스,기타 금융업
12231,2,KOSPI,오리온홀딩스,기타 금융업
12245,4,KOSDAQ,무림SP,"펄프, 종이 및 판지 제조업"
12251,2,KOSDAQ,무림SP,"펄프, 종이 및 판지 제조업"
12254,1,KOSDAQ,무림SP,"펄프, 종이 및 판지 제조업"
12272,3,KOSDAQ,무림SP,"펄프, 종이 및 판지 제조업"
12286,4,KOSDAQ,이화공영,건물 건설업
12293,3,KOSDAQ,이화공영,건물 건설업
12294,2,KOSDAQ,이화공영,건물 건설업
12366,1,KOSDAQ,이화공영,건물 건설업
12468,4,KOSPI,KISCO홀딩스,1차 철강 제조업
12470,3,KOSPI,KISCO홀딩스,1차 철강 제조업
12482,1,KOSPI,KISCO홀딩스,1차 철강 제조업
12494,2,KOSPI,KISCO홀딩스,1차 철강 제조업
12514,3,KOSPI,코오롱,기타 금융업
12515,4,KOSPI,코오롱,기타 금융업
12534,2,KOSPI,코오롱,기타 금융업
12594,1,KOSPI,코오롱,기타 금융업
12606,4,KOSPI,아세아,회사 본부 및 경영 컨설팅 서비스업
12607,3,KOSPI,아세아,회사 본부 및 경영 컨설팅 서비스업
12618,2,KOSPI,아세아,회사 본부 및 경영 컨설팅 서비스업
12629,1,KOSPI,아세아,회사 본부 및 경영 컨설팅 서비스업
12642,2,KOSPI,경농,"비료, 농약 및 살균, 살충제 제조업"
12643,3,KOSPI,경농,"비료, 농약 및 살균, 살충제 제조업"
12644,1,KOSPI,경농,"비료, 농약 및 살균, 살충제 제조업"
12645,4,KOSPI,고려산업,"곡물가공품, 전분 및 전분제품 제조업"
12650,1,KOSPI,고려산업,"곡물가공품, 전분 및 전분제품 제조업"
12654,3,KOSPI,고려산업,"곡물가공품, 전분 및 전분제품 제조업"
12655,2,KOSPI,고려산업,"곡물가공품, 전분 및 전분제품 제조업"
12680,1,KOSPI,도화엔지니어링,"건축기술, 엔지니어링 및 관련 기술 서비스업"
12685,2,KOSPI,도화엔지니어링,"건축기술, 엔지니어링 및 관련 기술 서비스업"
12694,4,KOSPI,도화엔지니어링,"건축기술, 엔지니어링 및 관련 기술 서비스업"
12696,3,KOSPI,도화엔지니어링,"건축기술, 엔지니어링 및 관련 기술 서비스업"
12705,4,KOSPI,삼양통상,"가죽, 가방 및 유사제품 제조업"
12708,3,KOSPI,삼양통상,"가죽, 가방 및 유사제품 제조업"
12723,1,KOSPI,삼양통상,"가죽, 가방 및 유사제품 제조업"
12729,2,KOSPI,삼양통상,"가죽, 가방 및 유사제품 제조업"
12750,3,KOSPI,동성제약,의약품 제조업
12756,4,KOSPI,동성제약,의약품 제조업
12783,3,KOSDAQ,피에스텍,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
12789,4,KOSDAQ,피에스텍,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
12817,1,KOSDAQ,피에스텍,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
12950,2,KOSDAQ,피에스텍,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
13095,3,KOSPI,고려제강,1차 철강 제조업
13101,2,KOSPI,고려제강,1차 철강 제조업
13107,1,KOSPI,고려제강,1차 철강 제조업
13116,4,KOSPI,고려제강,1차 철강 제조업
13127,2,KOSPI,롯데푸드,낙농제품 및 식용빙과류 제조업
13130,4,KOSPI,롯데푸드,낙농제품 및 식용빙과류 제조업
13131,1,KOSPI,롯데푸드,낙농제품 및 식용빙과류 제조업
13137,3,KOSDAQ,삼일기업공사,건물 건설업
13155,4,KOSDAQ,삼일기업공사,건물 건설업
13156,4,KOSPI,아세아제지,"골판지, 종이 상자 및 종이용기 제조업"
13157,1,KOSPI,아세아제지,"골판지, 종이 상자 및 종이용기 제조업"
13162,3,KOSPI,아세아제지,"골판지, 종이 상자 및 종이용기 제조업"
13165,2,KOSPI,아세아제지,"골판지, 종이 상자 및 종이용기 제조업"
13185,1,KOSPI,넥센타이어,고무제품 제조업
13202,3,KOSPI,넥센타이어,고무제품 제조업
13204,2,KOSPI,넥센타이어,고무제품 제조업
13220,4,KOSPI,넥센타이어,고무제품 제조업
13256,4,KOSPI,SH에너지화학,기초 화학물질 제조업
13261,3,KOSPI,SH에너지화학,기초 화학물질 제조업
13295,1,KOSPI,범양건영,건물 건설업
13296,4,KOSPI,범양건영,건물 건설업
13298,3,KOSPI,범양건영,건물 건설업
13300,2,KOSPI,범양건영,건물 건설업
13320,3,KOSPI,세기상사,"영화, 비디오물, 방송프로그램 제작 및 배급업"
13342,2,KOSPI,세기상사,"영화, 비디오물, 방송프로그램 제작 및 배급업"
13375,4,KOSPI,세기상사,"영화, 비디오물, 방송프로그램 제작 및 배급업"
13459,1,KOSPI,세기상사,"영화, 비디오물, 방송프로그램 제작 및 배급업"
13507,4,KOSPI,삼익악기,악기 제조업
13508,1,KOSPI,삼익악기,악기 제조업
13509,2,KOSPI,삼익악기,악기 제조업
13511,4,KOSPI,조흥,기타 식품 제조업
13512,2,KOSPI,조흥,기타 식품 제조업
13521,2,KOSPI,제일파마홀딩스,회사 본부 및 경영 컨설팅 서비스업
13522,1,KOSPI,제일파마홀딩스,회사 본부 및 경영 컨설팅 서비스업
13529,3,KOSPI,제일파마홀딩스,회사 본부 및 경영 컨설팅 서비스업
13553,4,KOSPI,제일파마홀딩스,회사 본부 및 경영 컨설팅 서비스업
13563,3,KOSPI,오리엔트바이오,의약품 제조업
13564,4,KOSPI,오리엔트바이오,의약품 제조업
13604,1,KOSPI,동일제강,1차 철강 제조업
13607,2,KOSPI,동일제강,1차 철강 제조업
13610,3,KOSPI,동일제강,1차 철강 제조업
13614,4,KOSPI,동일제강,1차 철강 제조업
13617,4,KOSPI,국제약품,의약품 제조업
13619,3,KOSPI,국제약품,의약품 제조업
13654,2,KOSPI,보락,기타 화학제품 제조업
13655,1,KOSPI,보락,기타 화학제품 제조업
13657,4,KOSPI,보락,기타 화학제품 제조업
13658,3,KOSPI,보락,기타 화학제품 제조업
13668,4,KOSPI,진흥기업,토목 건설업
13671,1,KOSPI,진흥기업,토목 건설업
13681,3,KOSPI,진흥기업,토목 건설업
13692,2,KOSPI,진흥기업,토목 건설업
13705,2,KOSDAQ,신신제약,의약품 제조업
13707,1,KOSDAQ,신신제약,의약품 제조업
13709,3,KOSPI,삼영무역,기타 전문 도매업
13730,2,KOSPI,삼영무역,기타 전문 도매업
13772,1,KOSPI,삼영무역,기타 전문 도매업
13781,4,KOSPI,삼영무역,기타 전문 도매업
13793,4,KOSPI,미원상사,기타 화학제품 제조업
13794,3,KOSPI,미원상사,기타 화학제품 제조업
13845,3,KOSPI,신풍제지,"펄프, 종이 및 판지 제조업"
13861,4,KOSPI,신풍제지,"펄프, 종이 및 판지 제조업"
13863,2,KOSPI,신풍제지,"펄프, 종이 및 판지 제조업"
13865,1,KOSPI,신풍제지,"펄프, 종이 및 판지 제조업"
13867,4,KOSPI,대유에이텍,자동차 신품 부품 제조업
13868,1,KOSPI,대유에이텍,자동차 신품 부품 제조업
13869,2,KOSPI,대유에이텍,자동차 신품 부품 제조업
13872,3,KOSPI,대유에이텍,자동차 신품 부품 제조업
13899,2,KOSPI,유성기업,자동차 신품 부품 제조업
13909,1,KOSPI,유성기업,자동차 신품 부품 제조업
13911,3,KOSPI,유성기업,자동차 신품 부품 제조업
13929,4,KOSPI,유성기업,자동차 신품 부품 제조업
13958,1,KOSPI,부광약품,의약품 제조업
13959,3,KOSPI,부광약품,의약품 제조업
13966,2,KOSPI,부광약품,의약품 제조업
13973,2,KOSPI,세아제강지주,기타 금융업
13975,1,KOSPI,세아제강지주,기타 금융업
13983,4,KOSPI,에이프로젠제약,의약품 제조업
13988,2,KOSPI,에이프로젠제약,의약품 제조업
13991,1,KOSPI,에이프로젠제약,의약품 제조업
14019,3,KOSPI,에이프로젠제약,의약품 제조업
14035,1,KOSPI,코오롱글로벌,토목 건설업
14119,2,KOSPI,코오롱글로벌,토목 건설업
14429,3,KOSPI,코오롱글로벌,토목 건설업
14493,4,KOSPI,코오롱글로벌,토목 건설업
14668,1,KOSPI,성보화학,"비료, 농약 및 살균, 살충제 제조업"
14672,2,KOSPI,성보화학,"비료, 농약 및 살균, 살충제 제조업"
14682,1,KOSPI,대웅,기타 금융업
14697,2,KOSPI,대웅,기타 금융업
14699,3,KOSPI,대웅,기타 금융업
14710,4,KOSPI,대웅,기타 금융업
14737,4,KOSDAQ,선광,기타 운송관련 서비스업
14738,2,KOSDAQ,선광,기타 운송관련 서비스업
14740,3,KOSDAQ,선광,기타 운송관련 서비스업
14763,1,KOSDAQ,선광,기타 운송관련 서비스업
14799,4,KOSPI,일성신약,의약품 제조업
14802,3,KOSPI,일성신약,의약품 제조업
14803,1,KOSPI,일성신약,의약품 제조업
14804,2,KOSPI,일성신약,의약품 제조업
14811,3,KOSPI,디아이,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
14822,2,KOSPI,디아이,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
14866,1,KOSPI,디아이,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
14885,4,KOSPI,디아이,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
15140,3,KOSPI,일신방직,방적 및 가공사 제조업
15159,2,KOSPI,일신방직,방적 및 가공사 제조업
15162,4,KOSPI,일신방직,방적 및 가공사 제조업
15195,3,KOSPI,대원제약,의약품 제조업
15198,4,KOSPI,대원제약,의약품 제조업
15204,1,KOSPI,대원제약,의약품 제조업
15206,2,KOSPI,대원제약,의약품 제조업
15207,2,KOSPI,삼양식품,기타 식품 제조업
15208,3,KOSPI,삼양식품,기타 식품 제조업
15213,1,KOSPI,삼양식품,기타 식품 제조업
15220,4,KOSPI,태광산업,화학섬유 제조업
15222,3,KOSPI,태광산업,화학섬유 제조업
15224,1,KOSPI,태광산업,화학섬유 제조업
15247,2,KOSPI,태광산업,화학섬유 제조업
15466,2,KOSDAQ,대주산업,동물용 사료 및 조제식품 제조업
15467,1,KOSDAQ,대주산업,동물용 사료 및 조제식품 제조업
15476,3,KOSDAQ,대주산업,동물용 사료 및 조제식품 제조업
15478,4,KOSDAQ,하림지주,기타 금융업
15479,2,KOSDAQ,하림지주,기타 금융업
15495,3,KOSDAQ,하림지주,기타 금융업
15497,1,KOSDAQ,하림지주,기타 금융업
15511,3,KOSPI,유화증권,금융 지원 서비스업
15543,4,KOSPI,유화증권,금융 지원 서비스업
15650,1,KOSPI,유화증권,금융 지원 서비스업
15659,2,KOSPI,유화증권,금융 지원 서비스업
15700,1,KOSPI,유안타증권,금융 지원 서비스업
15707,4,KOSPI,유안타증권,금융 지원 서비스업
15711,3,KOSPI,유안타증권,금융 지원 서비스업
15720,2,KOSPI,유안타증권,금융 지원 서비스업
15844,4,KOSPI,대한항공,항공 여객 운송업
15852,1,KOSPI,대한항공,항공 여객 운송업
15864,2,KOSPI,대한항공,항공 여객 운송업
15873,1,KOSPI,영진약품,의약품 제조업
15875,4,KOSPI,영진약품,의약품 제조업
15877,2,KOSPI,영진약품,의약품 제조업
15885,3,KOSPI,영진약품,의약품 제조업
15898,3,KOSPI,대신증권,금융 지원 서비스업
15900,2,KOSPI,대신증권,금융 지원 서비스업
15909,1,KOSPI,대신증권,금융 지원 서비스업
15914,4,KOSPI,대신증권,금융 지원 서비스업
15916,1,KOSPI,LG,기타 금융업
15917,3,KOSPI,LG,기타 금융업
15921,2,KOSPI,LG,기타 금융업
15922,4,KOSPI,LG,기타 금융업
15954,4,KOSPI,넥스트사이언스,기타 비금속광물 광업
15956,1,KOSPI,넥스트사이언스,기타 비금속광물 광업
15963,2,KOSPI,넥스트사이언스,기타 비금속광물 광업
15967,3,KOSPI,넥스트사이언스,기타 비금속광물 광업
15989,2,KOSPI,방림,직물직조 및 직물제품 제조업
15996,1,KOSPI,방림,직물직조 및 직물제품 제조업
16051,3,KOSPI,코리안리,재 보험업
16056,4,KOSPI,코리안리,재 보험업
16070,4,KOSPI,진양산업,플라스틱제품 제조업
16075,3,KOSPI,진양산업,플라스틱제품 제조업
16076,2,KOSPI,진양산업,플라스틱제품 제조업
16083,1,KOSPI,진양산업,플라스틱제품 제조업
16111,4,KOSDAQ,에이스침대,가구 제조업
16137,3,KOSDAQ,에이스침대,가구 제조업
16208,4,KOSPI,대한화섬,화학섬유 제조업
16217,1,KOSPI,대한화섬,화학섬유 제조업
16254,2,KOSPI,대한화섬,화학섬유 제조업
16280,3,KOSPI,대한화섬,화학섬유 제조업
16305,2,KOSPI,보령제약,의약품 제조업
